,name,dob,nat,score,events,environment,race,date,performance,place
450,Panu JANTUNEN,11 APR 1989,FIN,967,1500m,Indoor,1500 Metres,18 FEB 2017,3:52.19,Jyväskylä (FIN)
451,Panu JANTUNEN,11 APR 1989,FIN,967,1500m,Indoor,1500 Metres,17 FEB 2018,4:22.57,Helsinki (FIN)
452,Panu JANTUNEN,11 APR 1989,FIN,967,1500m,Indoor,1500 Metres,20 FEB 2021,3:53.26,"Hipposhalli, Jyväskylä (FIN)"
453,Panu JANTUNEN,11 APR 1989,FIN,967,1500m,Indoor,3000 Metres,27 FEB 2011,8:51.44,Helsinki (FIN)
454,Panu JANTUNEN,11 APR 1989,FIN,967,1500m,Indoor,3000 Metres,26 JAN 2013,8:39.34,Jyväskylä (FIN)
455,Panu JANTUNEN,11 APR 1989,FIN,967,1500m,Indoor,3000 Metres,28 JAN 2017,8:18.98,Helsinki (FIN)
456,Panu JANTUNEN,11 APR 1989,FIN,967,1500m,Indoor,3000 Metres,29 JAN 2022,8:39.43,"Liikuntamylly, Helsinki (FIN)"
457,Tim KALIES,05 AUG 2004,GER,967,1500m [1500m ind.],Outdoor,800 Metres,11 AUG 2020,1:58.18,"Erika-Fisch-Stadion, Hannover (GER)"
458,Tim KALIES,05 AUG 2004,GER,967,1500m [1500m ind.],Outdoor,800 Metres,19 JUN 2021,1:56.28,"Jahnstadion, Göttingen (GER)"
459,Tim KALIES,05 AUG 2004,GER,967,1500m [1500m ind.],Outdoor,1000 Metres,05 MAY 2021,2:28.59,"Erika-Fisch-Stadion, Hannover (GER)"
460,Tim KALIES,05 AUG 2004,GER,967,1500m [1500m ind.],Outdoor,1500 Metres,15 AUG 2020,3:59.52,"Stadion Rote Erde, Dortmund (GER)"
461,Tim KALIES,05 AUG 2004,GER,967,1500m [1500m ind.],Outdoor,1500 Metres,15 MAY 2021,3:49.42,"Carl-Kaufmann-Stadion, Karlsruhe (GER)"
462,Tim KALIES,05 AUG 2004,GER,967,1500m [1500m ind.],Outdoor,1500 Metres,18 JUN 2022,3:49.55,"TSV Stadion, Pfungstadt (GER)"
463,Tim KALIES,05 AUG 2004,GER,967,1500m [1500m ind.],Indoor,800 Metres,06 FEB 2022,1:55.23,"Sportleistungszentrum, Hannover (GER)"
464,Tim KALIES,05 AUG 2004,GER,967,1500m [1500m ind.],Indoor,1500 Metres,05 FEB 2022,3:53.92,"Sportleistungszentrum, Hannover (GER)"
465,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,800 Metres,05 MAY 2019,1:56.41,"La Plume, PA (USA)"
466,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,1500 Metres,17 MAY 2018,4:00.35,"Baltimore, MD (USA)"
467,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,1500 Metres,13 MAY 2019,3:52.93,"Swarthmore, PA (USA)"
468,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,1500 Metres,08 MAY 2021,3:55.21,"The TF Complex at Mylan Park, Morgantown, WV (USA)"
469,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,1500 Metres,13 MAY 2022,3:49.39,"George Finnie Stadium, Berea, OH (USA)"
470,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,One Mile,19 APR 2019,4:18.77,"Westerville, OH (USA)"
471,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,3000 Metres,29 JAN 2022,8:31.61,"WATTS, Youngstown, OH (USA)"
472,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,07 APR 2018,15:32.70,"Alliance, OH (USA)"
473,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,13 APR 2019,14:55.20,"Delaware, OH (USA)"
474,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,09 JUL 2021,15:19.68,"Icahn Stadium, New York, NY (USA)"
475,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,30 APR 2022,14:24.27,"Franklin Field, Philadelphia, PA (USA)"
476,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Indoor,800 Metres,09 FEB 2019,1:57.16,"Westerville, OH (USA)"
477,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Indoor,One Mile,13 JAN 2018,4:21.64,NY (USA)
478,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Indoor,One Mile,02 MAR 2019,4:12.13,"New York, NY (USA)"
479,Liam GALLIGAN,,USA,966,1500m [Mile ind.],Indoor,One Mile,11 MAR 2022,4:09.44,"JDL Fast Track, Winston Salem, NC (USA)"
480,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,800 Metres,23 APR 2022,1:54.92,"Geroge C. Griffin Track, Atlanta, GA (USA)"
481,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,1500 Metres,21 APR 2018,3:57.12,"Clinton, MS (USA)"
482,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,1500 Metres,22 MAR 2019,3:56.56,"Starkville, MS (USA)"
483,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,1500 Metres,02 APR 2021,3:53.71,"University of Alabama at Birmingham, Birmingham, AL (USA)"
484,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,1500 Metres,22 APR 2022,3:48.44,"Geroge C. Griffin Track, Atlanta, GA (USA)"
485,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,3000 Metres,15 JAN 2022,8:18.04,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)"
486,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,03 MAR 2018,15:10.37,"Huntsville, AL (USA)"
487,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,12 APR 2019,14:54.88,"Clarksville, TN (USA)"
488,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,07 MAR 2020,14:48.68,"Madison Academy, Huntsville, AL (USA)"
489,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,16 APR 2021,14:27.89,"Geroge C. Griffin Track, Atlanta, GA (USA)"
490,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,5000 Metres,15 APR 2022,14:08.88,"Hutsell-Rosen Track, Auburn, AL (USA)"
491,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,"10,000 Metres",02 MAY 2019,32:46.36,"Clinton, MS (USA)"
492,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,2000 Metres Steeplechase,26 MAR 2022,6:01.47,"Ole Miss T&F Complex, Oxford, MS (USA)"
493,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,3000 Metres Steeplechase,20 APR 2018,9:27.45,"Clinton, MS (USA)"
494,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,3000 Metres Steeplechase,03 MAY 2019,9:08.19,"Clinton, MS (USA)"
495,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,3000 Metres Steeplechase,15 MAY 2021,9:11.15,"Lee’s Multi-Sport Complex, Cleveland, TN (USA)"
496,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,3000 Metres Steeplechase,05 MAY 2022,9:04.94,"Parkman Track, Clinton, MS (USA)"
497,Jay DAY,,USA,966,1500m [Mile ind.],Outdoor,4x800 Metres Relay,24 MAR 2018,7:44.55,"Mississippi State, MS (USA)"
498,Jay DAY,,USA,966,1500m [Mile ind.],Indoor,800 Metres,09 FEB 2019,1:56.04,"Birmingham, AL (USA)"
499,Jay DAY,,USA,966,1500m [Mile ind.],Indoor,800 Metres,19 FEB 2020,1:55.42,"CrossPlex Athletic Facility, Birmingham, AL (USA)"
500,Jay DAY,,USA,966,1500m [Mile ind.],Indoor,One Mile,02 FEB 2020,4:14.17,"CrossPlex Athletic Facility, Birmingham, AL (USA)"
501,Jay DAY,,USA,966,1500m [Mile ind.],Indoor,One Mile,16 FEB 2022,4:09.54,"CrossPlex Athletic Facility, Birmingham, AL (USA)"
502,Jay DAY,,USA,966,1500m [Mile ind.],Indoor,3000 Metres,27 JAN 2019,8:55.05,"Birmingham, AL (USA)"
503,Jay DAY,,USA,966,1500m [Mile ind.],Indoor,3000 Metres,07 FEB 2020,8:26.90,"South Carolina Indoor T&F Complex, Columbia, SC (USA)"
504,Jay DAY,,USA,966,1500m [Mile ind.],Indoor,3000 Metres,16 FEB 2022,8:19.02,"CrossPlex Athletic Facility, Birmingham, AL (USA)"
505,Jay DAY,,USA,966,1500m [Mile ind.],Indoor,Distance Medley Relay,08 FEB 2020,10:02.33,"South Carolina Indoor T&F Complex, Columbia, SC (USA)"
506,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,800 Metres,16 JUL 2022,1:55.74,"Horspath Athletics Track, Oxford (GBR)"
507,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,1500 Metres,20 AUG 2011,3:56.78,Birmingham (GBR)
508,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,1500 Metres,05 MAY 2013,3:57.28,Bedford (GBR)
509,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,1500 Metres,01 JUN 2022,3:47.32,"Wimbledon Park Athletics Track, London (GBR)"
510,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,One Mile,20 JUL 2022,4:07.05,"Wimbledon Park Athletics Track, London (GBR)"
511,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,3000 Metres,01 AUG 2018,8:13.55,"Wimbledon Park Athletics Track, London (GBR)"
512,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,3000 Metres,13 JUL 2022,8:16.17,"Wimbledon Park Athletics Track, London (GBR)"
513,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,5000 Metres,23 JUN 2018,14:31.90,Loughborough (GBR)
514,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,5000 Metres,16 JUL 2021,15:09.84,"Finsbury Park, London (GBR)"
515,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Outdoor,5000 Metres,06 AUG 2022,14:15.28,"Wimbledon Park Athletics Track, London (GBR)"
516,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Indoor,1500 Metres,24 FEB 2013,4:01.24,Sheffield (GBR)
517,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Indoor,3000 Metres,11 DEC 2011,8:47.03,Cardiff (GBR)
518,Andrew PENNEY,13 AUG 1991,GBR,966,1500m [Mile],Indoor,3000 Metres,16 FEB 2022,8:46.87,"Lee Valley Athletics Centre, London (GBR)"
519,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,800 Metres,23 AUG 2019,1:57.23,Bruxelles (BEL)
520,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,800 Metres,01 AUG 2020,1:56.37,Vught (NED)
521,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,800 Metres,04 SEP 2021,1:55.20,"Atletiekstadion De Brielmeersen, Deinze (BEL)"
522,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,1000 Metres,01 AUG 2017,2:31.86,"Burgemeester Thienpontstadion, Oudenaarde (BEL)"
523,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,1500 Metres,02 JUN 2018,3:54.41,Oordegem (BEL)
524,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,1500 Metres,01 JUN 2019,3:57.14,Oordegem (BEL)
525,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,1500 Metres,16 AUG 2020,3:54.42,"Boudewijnstadion, Bruxelles (BEL)"
526,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,1500 Metres,21 AUG 2021,3:51.50,"Sportcentrum De Rode Loop in Merksem, Antwerpen (BEL)"
527,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,1500 Metres,06 AUG 2022,3:47.66,"Atletiek Arena Gaston Roelants Kessel-lo, Leuven (BEL)"
528,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,3000 Metres,04 JUN 2022,8:08.91,"Sport Vlaanderen Atletiekpiste, Oordegem (BEL)"
529,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,5000 Metres,28 MAY 2022,14:23.19,"Atletiekbaan Brakkenstein, Nijmegen (NED)"
530,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,2000 Metres Steeplechase,15 AUG 2017,6:16.48,Brugge (BEL)
531,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Outdoor,3000 Metres Steeplechase,26 AUG 2018,10:01.93,Mouscron (BEL)
532,Michiel VANHUYSSE,21 MAR 2000,BEL,966,1500m,Indoor,800 Metres,22 JAN 2017,1:59.58,Gent (BEL)
533,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Outdoor,800 Metres,23 JUL 2022,1:55.39,"Trafford Athletic Stadium, Manchester (GBR)"
534,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Outdoor,1500 Metres,23 JUN 2021,3:55.95,"Loughborough University Track, Loughborough (GBR)"
535,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Outdoor,1500 Metres,28 MAY 2022,3:48.49,"Sportcity Regional Arena, Manchester (GBR)"
536,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Outdoor,One Mile,21 MAY 2022,4:05.77,"University of Stirling Track, Stirling (GBR)"
537,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Outdoor,3000 Metres,25 SEP 2021,8:29.42,"Moorways Stadium, Derby (GBR)"
538,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Outdoor,3000 Metres,05 AUG 2022,8:09.02,"Friidrettsstadion, Jessheim (NOR)"
539,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Indoor,800 Metres,10 FEB 2022,1:59.21,"Emirates Arena, Glasgow (GBR)"
540,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Indoor,1500 Metres,09 FEB 2022,3:55.90,"Emirates Arena, Glasgow (GBR)"
541,Corey CAMPBELL,20 JUL 2006,GBR,966,"1500m [1500m ind.,Mile]",Indoor,3000 Metres,18 FEB 2022,8:23.94,"Emirates Arena, Glasgow (GBR)"
542,Tendai NYABADZA,13 AUG 2005,GBR,966,1500m,Outdoor,1500 Metres,28 MAY 2022,3:47.86,"Sportcity Regional Arena, Manchester (GBR)"
543,Tendai NYABADZA,13 AUG 2005,GBR,966,1500m,Outdoor,3000 Metres,03 JUN 2022,8:21.99,"Crownpoint Sports Complex Track, Glasgow (GBR)"
544,Tendai NYABADZA,13 AUG 2005,GBR,966,1500m,Indoor,1500 Metres,09 FEB 2022,3:59.87,"Emirates Arena, Glasgow (GBR)"
545,Griffin KELLY,2003,AUS,966,1500m,Outdoor,1500 Metres,18 SEP 2021,3:50.15,"QSAC, Nathan, Brisbane (AUS)"
546,Griffin KELLY,2003,AUS,966,1500m,Outdoor,1500 Metres,06 MAR 2022,3:49.75,"QSAC State Athletics Facility, Nathan, Brisbane (AUS)"
547,Griffin KELLY,2003,AUS,966,1500m,Outdoor,3000 Metres,02 OCT 2021,8:25.53,"QSAC, Nathan, Brisbane (AUS)"
548,Griffin KELLY,2003,AUS,966,1500m,Outdoor,3000 Metres,05 FEB 2022,8:29.34,"QSAC, Nathan, Brisbane (AUS)"
549,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Outdoor,800 Metres,04 JUL 2020,1:55.68,"Estadio Universitario, Lisboa (POR)"
550,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Outdoor,800 Metres,17 JUL 2021,1:51.55,"Estadio Universitario, Lisboa (POR)"
551,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Outdoor,800 Metres,26 JUL 2022,1:51.20,Lisboa (POR)
552,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Outdoor,1500 Metres,20 APR 2019,4:08.23,Lisboa (POR)
553,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Outdoor,1500 Metres,24 JUL 2021,3:53.27,"Estadio Universitario, Lisboa (POR)"
554,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Outdoor,1500 Metres,04 JUN 2022,3:48.93,"Estádio José Vieira de Carvalho, Maia (POR)"
555,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Outdoor,3000 Metres,06 MAR 2021,8:56.37,"Centro Desportivo Nacional do Jamor, Lisboa (POR)"
556,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Indoor,800 Metres,20 FEB 2021,1:58.44,"Expocentro, Pombal (POR)"
557,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Indoor,800 Metres,27 FEB 2022,1:53.25,"Expocentro, Pombal (POR)"
558,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Indoor,1500 Metres,12 FEB 2022,3:59.10,"Altice Forum, Braga (POR)"
559,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Indoor,3000 Metres,16 FEB 2020,8:48.10,"Estádio Municipal de Leiria, Pombal (POR)"
560,Rodrigo LIMA,16 MAY 2003,POR,966,1500m [1500m ind.],Indoor,3000 Metres,13 FEB 2022,8:36.20,"Altice Forum, Braga (POR)"
561,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,800 Metres,14 JUN 2017,1:57.42,Watford (GBR)
562,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,1500 Metres,26 JUL 2017,3:59.40,Watford (GBR)
563,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,1500 Metres,26 MAY 2018,3:56.10,Watford (GBR)
564,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,1500 Metres,22 JUN 2019,3:57.40,Bedford (GBR)
565,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,1500 Metres,23 JUN 2021,3:48.36,"Loughborough University Track, Loughborough (GBR)"
566,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,1500 Metres,10 AUG 2022,3:47.28,"Woodside Stadium, Watford (GBR)"
567,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,One Mile,24 JUL 2021,4:13.91,"Loughborough University Track, Loughborough (GBR)"
568,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,3000 Metres,20 JUL 2016,8:51.24,Basingstoke (GBR)
569,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,3000 Metres,19 JUL 2017,8:38.63,Basingstoke (GBR)
570,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,3000 Metres,25 JUL 2018,8:40.69,Swansea (GBR)
571,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,3000 Metres,29 MAY 2019,8:14.97,Brighton (GBR)
572,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,3000 Metres,25 APR 2021,8:24.47,"Loughborough University Track, Loughborough (GBR)"
573,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,3000 Metres,22 MAY 2022,8:14.88,"Loughborough University Track, Loughborough (GBR)"
574,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,5000 Metres,15 JUN 2019,14:41.98,Loughborough (GBR)
575,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,5000 Metres,12 MAY 2021,14:18.48,"Birmingham University Athletics Track, Birmingham (GBR)"
576,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Outdoor,5000 Metres,09 JUL 2022,14:16.96,"Stantonbury Stadium, Milton Keynes (GBR)"
577,Max HEYDEN,12 SEP 2000,GBR,965,1500m,Indoor,3000 Metres,15 FEB 2020,8:27.62,"EIS Don Valley Stadium, Sheffield (GBR)"
578,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,800 Metres,06 DEC 2019,1:56.34,"WA Sports Centre, Perth (AUS)"
579,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,800 Metres,19 DEC 2020,1:54.47,"The Crest Athletics Centre, Sydney (AUS)"
580,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,800 Metres,12 FEB 2021,1:53.56,"AIS Athletics Track, Canberra (AUS)"
581,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,800 Metres,17 MAR 2022,1:50.24,"The Crest Athletics Centre, Sydney (AUS)"
582,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,1500 Metres,08 DEC 2019,4:01.90,"WA Sports Centre, Perth (AUS)"
583,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,1500 Metres,06 DEC 2020,4:00.66,"SOPAC, Sydney (AUS)"
584,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,1500 Metres,27 MAR 2021,3:54.77,"The Crest Athletics Centre, Sydney (AUS)"
585,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,1500 Metres,26 FEB 2022,3:48.52,"SOPAC, Sydney (AUS)"
586,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,One Mile,21 DEC 2019,4:27.19,"The Crest Athletics Centre, Sydney (AUS)"
587,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,One Mile,08 FEB 2022,4:15.73,"Lakeside Stadium, Melbourne (AUS)"
588,Kane SHIELDS,02 AUG 2004,AUS,965,1500m,Outdoor,3000 Metres,21 NOV 2020,8:42.86,"Olympic Park Warm Up Arena, Sydney (AUS)"
589,Yohei MOCHIZUKI,13 DEC 2001,JPN,965,1500m,Outdoor,800 Metres,04 OCT 2019,1:53.32,"Prefectural Kasamatsu Stadium, Hitachinaka (JPN)"
590,Yohei MOCHIZUKI,13 DEC 2001,JPN,965,1500m,Outdoor,800 Metres,05 JUL 2020,1:51.09,"Kokushikan University Stadium, Tama (JPN)"
591,Yohei MOCHIZUKI,13 DEC 2001,JPN,965,1500m,Outdoor,800 Metres,14 JUL 2021,1:50.75,"Municipal Stadium, Kitami (JPN)"
592,Yohei MOCHIZUKI,13 DEC 2001,JPN,965,1500m,Outdoor,1500 Metres,23 JUL 2020,3:56.97,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)"
593,Yohei MOCHIZUKI,13 DEC 2001,JPN,965,1500m,Outdoor,1500 Metres,20 MAY 2021,3:47.07,"Gion Stadium, Sagamihara (JPN)"
594,Yohei MOCHIZUKI,13 DEC 2001,JPN,965,1500m,Outdoor,1500 Metres,20 MAY 2022,3:48.36,"National Stadium, Tokyo (JPN)"
595,Yohei MOCHIZUKI,13 DEC 2001,JPN,965,1500m,Outdoor,5000 Metres,14 NOV 2021,14:54.49,"NITTAIDAI Athletic Stadium, Yokohama (JPN)"
596,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,14 AUG 2019,1:55.73,Eltham (GBR)
597,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,02 JUN 2021,1:54.83,"Knoxville Catholic High School, Knoxville, TN (USA)"
598,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,14 MAY 2022,1:53.48,"Lee’s Multi-Sport Complex, Cleveland, TN (USA)"
599,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,29 MAY 2019,3:55.27,Brighton (GBR)
600,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,06 JUN 2021,3:53.15,"Montgomery Bell Academy, Nashville, TN (USA)"
601,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,05 JUN 2022,3:49.00,"Vanderbilt Track, Nashville, TN (USA)"
602,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,One Mile,05 MAR 2022,4:09.51,"Sanford Jackrabbit Athletic Complex, Brookings, SD (USA)"
603,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres,16 JUL 2014,8:54.87,Basingstoke (GBR)
604,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres,04 SEP 2015,8:53.65,Manchester (GBR)
605,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres,30 JUL 2019,8:50.39,Exeter (GBR)
606,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres,22 APR 2021,8:31.45,"Bannister Stadium, Harrow (GBR)"
607,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres,13 JUL 2022,8:17.12,"Wimbledon Park Athletics Track, London (GBR)"
608,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,23 MAR 2019,15:26.05,"Parliament Hill Fields Athletics Track, London (GBR)"
609,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,31 MAR 2021,14:53.09,"Millennium Arena, Battersea Park, London (GBR)"
610,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,24 APR 2022,15:18.59,"Kermit Tipton Stadium and Sydney Smallwood T&FComplex, Johnson City, TN (USA)"
611,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,5 Kilometres,30 NOV 2019,15:30,Barrowford (GBR)
612,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,01 JUN 2019,9:42.75,Nuneaton (GBR)
613,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Indoor,800 Metres,04 FEB 2018,1:57.53,Cardiff (GBR)
614,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Indoor,800 Metres,20 JAN 2019,1:58.61,Lee Valley (GBR)
615,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Indoor,1000 Metres,17 FEB 2022,2:29.35,"JDL Fast Track, Winston Salem, NC (USA)"
616,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Indoor,One Mile,29 JAN 2022,4:12.87,"Corps Physical Training Facility, Lexington, VA (USA)"
617,Will STOCKLEY,25 MAR 1999,GBR,965,"1500m [Mile,Mile ind.]",Indoor,3000 Metres,05 DEC 2021,8:31.10,"JDL Fast Track, Winston Salem, NC (USA)"
618,Hugo AYMARD-CHAZAL,10 NOV 2000,FRA,965,1500m [1500m ind.],Outdoor,800 Metres,03 OCT 2020,1:55.33,"Stade Bachelard, Grenoble (FRA)"
619,Hugo AYMARD-CHAZAL,10 NOV 2000,FRA,965,1500m [1500m ind.],Outdoor,800 Metres,19 JUN 2021,1:52.14,"Stade Raymond Troussier, Decines (FRA)"
